product_id,name,score,reasons,last,yoy,slope_8w
42,Лимони,5,"HEAT_YOY, HEAT_MOM_PERSIST, ELEVATED_LEVEL",5.75,0.44654088050314455,0.015714285714285677
38,Ябълки,5,"HEAT_YOY, HEAT_MOM_PERSIST, ELEVATED_LEVEL",3.85,0.3275862068965516,0.00357142857142855
26,Пилешки бутчета охладени,5,"HEAT_YOY, HEAT_MOM_PERSIST, ELEVATED_LEVEL",6.99,0.08288148721920985,0.002571428571428543
17,Кашкавал от краве мляко 400гр опаковка,4,"HEAT_YOY, ELEVATED_LEVEL, REVERSAL_UP",30.7,0.08749557208643277,0.0028571428571428077
46,Домати,3,"HEAT_YOY, REVERSAL_UP",3.5,0.12903225806451601,0.001428571428571411
19,Кайма 60/40 свинско/телешко 1 кг охладена,3,"HEAT_MOM_PERSIST, ELEVATED_LEVEL",12.11,0.07644444444444431,0.004857142857142806
25,Пилешко филе охладено,3,"HEAT_MOM_PERSIST, ELEVATED_LEVEL",15.844999999999999,0.06700336700336695,0.006428571428571369
24,"Цяло пиле 1,200/1,400 кг замразено",3,"VOL_REGIME, ELEVATED_LEVEL, REVERSAL_UP",8.2,0.05943152454780343,0.007428571428571329
12,"Кисело мляко 3,6% 400 гр",3,"HEAT_MOM_PERSIST, ELEVATED_LEVEL",1.55,0.04026845637583887,-8.029674861206398e-18
23,"Цяло пиле 1,200/1,400 кг охладено",3,"HEAT_MOM_PERSIST, VOL_REGIME",8.0,0.0012515644555695093,0.00028571428571424177
13,Масло 250 гр,2,HEAT_YOY,8.72,0.3436055469953776,0.005714285714285705
30,Адаптирано сухо мляко за кърмачета 0-12мес 800гр,2,"VOL_REGIME, ELEVATED_LEVEL",50.25,0.027817549601145464,0.017714285714285433
41,Краставици,2,"VOL_REGIME, REVERSAL_UP",3.25,-0.23349056603773588,0.021428571428571415
3,Хляб Добруджа 650 гр,1,ELEVATED_LEVEL,1.92,0.19999999999999996,-5.16019577015013e-18
1,Бял хляб 650 гр,1,ELEVATED_LEVEL,1.8,0.16883116883116878,-4.857609076563093e-18
39,Банани,1,ELEVATED_LEVEL,3.65,0.07352941176470584,-2.4288045382815464e-18
11,Кисело мляко 2% 400 гр,1,ELEVATED_LEVEL,1.47,0.05755395683453246,0.0005714285714285719
10,"Прясно мляко 3,2% - 3,8% 1 л бутилка или тетрапак",1,ELEVATED_LEVEL,3.32,0.04731861198738163,-1.5247044546457196e-17
27,Яйца М кутии цена за брой яйце,1,REVERSAL_UP,0.455,0.011111111111111072,0.00014285714285714203
8,Боб 1 кг,1,ELEVATED_LEVEL,5.95,0.01018675721561979,-1.625837052160907e-17
7,Ориз 1 кг,1,REVERSAL_UP,4.49,0.0022321428571427937,0.0005714285714285731
45,Картофи,0,,1.6,0.18518518518518512,-0.0028571428571428576
6,Олио 1 л,0,,3.8,0.17283950617283939,-7.485434414040913e-18
5,Брашно Тип 500 1 кг,0,,1.85,0.14197530864197527,-0.000285714285714295
44,Портокали,0,,3.6,0.10091743119266061,-0.002142857142857159
15,Бяло саламурено сирене 400 гр опаковка,0,,24.45,0.08763345195729522,-0.004285714285714461
40,Моркови,0,,1.875,0.04166666666666674,-0.0035714285714285787
14,Бяло саламурено сирене 1 кг от витрина,0,,15.969999999999999,0.030322580645161246,-0.0005714285714286708
16,Кашкавал от краве мляко 1 кг,0,,22.6,0.029847345636819345,-0.009285714285714257
20,Свински бут без кост охладен,0,,12.65,-0.04094010614101584,-9.060902916277898e-17
43,Лук зрял,0,,1.6749999999999998,-0.04285714285714293,-0.0007142857142857291
9,Захар 1 кг,0,,2.365,-0.050200803212851364,-0.0007142857142857101
